Timestep,Mean Reward,Mean Episode Length,Balance,Portfolio Value,PnL,PnL %
80000,74.32,0.00,0.00,0.00,0.00,0.0000
96000,-11.62,0.00,0.00,0.00,0.00,0.0000
192000,-11.61,0.00,0.00,0.00,0.00,0.0000
288000,-12.84,0.00,0.00,0.00,0.00,0.0000
384000,-13.45,0.00,0.00,0.00,0.00,0.0000
480000,-11.60,0.00,0.00,0.00,0.00,0.0000
576000,-11.46,0.00,0.00,0.00,0.00,0.0000
672000,-12.96,0.00,0.00,0.00,0.00,0.0000
768000,-12.83,0.00,0.00,0.00,0.00,0.0000
864000,695.80,0.00,0.00,0.00,0.00,0.0000
960000,670.77,0.00,0.00,0.00,0.00,0.0000
1056000,714.59,0.00,0.00,0.00,0.00,0.0000
1152000,714.41,0.00,0.00,0.00,0.00,0.0000
